Drug1,Drug2,cell,drug1_db,drug2_db,synergy,fold
5-FU,AZD1775,SKOV3,DB00544,DB11740,18.7449639444,1
5-FU,AZD1775,SW620,DB00544,DB11740,8.0516725326,1
5-FU,AZD1775,SW837,DB00544,DB11740,2.5778554159,1
5-FU,AZD1775,T47D,DB00544,DB11740,10.0383629005,1
5-FU,AZD1775,UACC62,DB00544,DB11740,11.459350528699998,1
5-FU,AZD1775,VCAP,DB00544,DB11740,-0.9983275325,1
5-FU,AZD1775,ZR751,DB00544,DB11740,0.423932097,1
5-FU,BEZ-235,A2058,DB00544,DB11651,13.6791116022,1
5-FU,BEZ-235,A2780,DB00544,DB11651,3.9332239081,1
5-FU,BEZ-235,A375,DB00544,DB11651,3.2905479611,1
5-FU,BEZ-235,CAOV3,DB00544,DB11651,4.4325063513,1
5-FU,BEZ-235,DLD1,DB00544,DB11651,13.0355787543,1
5-FU,BEZ-235,ES2,DB00544,DB11651,2.4774290291,1
5-FU,BEZ-235,HCT116,DB00544,DB11651,2.7457843603,1
5-FU,BEZ-235,HT144,DB00544,DB11651,2.3230897887,1
5-FU,BEZ-235,HT29,DB00544,DB11651,11.8958027211,1
5-FU,BEZ-235,KPL1,DB00544,DB11651,16.462849087000002,1
5-FU,BEZ-235,LOVO,DB00544,DB11651,0.0497243445,1
5-FU,BEZ-235,MDAMB436,DB00544,DB11651,18.9742923554,1
5-FU,BEZ-235,NCIH1650,DB00544,DB11651,17.6381552118,1
5-FU,BEZ-235,NCIH2122,DB00544,DB11651,7.697273484099999,1
5-FU,BEZ-235,NCIH23,DB00544,DB11651,4.9902197108,1
5-FU,BEZ-235,NCIH460,DB00544,DB11651,20.1004137353,1
5-FU,BEZ-235,NCIH520,DB00544,DB11651,16.721797226099998,1
5-FU,BEZ-235,OV90,DB00544,DB11651,17.5470785652,1
5-FU,BEZ-235,RKO,DB00544,DB11651,16.9360013477,1
5-FU,BEZ-235,RPMI7951,DB00544,DB11651,12.7059498499,1
5-FU,BEZ-235,SKMEL30,DB00544,DB11651,-73.1384016545,1
5-FU,BEZ-235,SKMES1,DB00544,DB11651,21.2679035017,1
5-FU,BEZ-235,SKOV3,DB00544,DB11651,4.2458790789,1
5-FU,BEZ-235,SW620,DB00544,DB11651,12.0285902424,1
5-FU,BEZ-235,SW837,DB00544,DB11651,5.514510747899999,1
5-FU,BEZ-235,T47D,DB00544,DB11651,106.0071923778,1
5-FU,BEZ-235,UACC62,DB00544,DB11651,7.9318775251,1
5-FU,BEZ-235,VCAP,DB00544,DB11651,11.7574248227,1
5-FU,BEZ-235,ZR751,DB00544,DB11651,7.0759828056,1
5-FU,BORTEZOMIB,A2058,DB00544,DB00188,-5.2398784479,2
5-FU,BORTEZOMIB,A2780,DB00544,DB00188,-18.599126219,2
5-FU,BORTEZOMIB,A375,DB00544,DB00188,-2.4053347825,2
5-FU,BORTEZOMIB,CAOV3,DB00544,DB00188,-35.2730418424,2
5-FU,BORTEZOMIB,DLD1,DB00544,DB00188,5.2284767557,2
5-FU,BORTEZOMIB,ES2,DB00544,DB00188,-16.130125329200002,2
5-FU,BORTEZOMIB,HCT116,DB00544,DB00188,-4.519269449599999,2
5-FU,BORTEZOMIB,HT144,DB00544,DB00188,-14.5697825802,2
5-FU,BORTEZOMIB,HT29,DB00544,DB00188,-15.9516134706,2
5-FU,BORTEZOMIB,KPL1,DB00544,DB00188,-2.9975327263,2
5-FU,BORTEZOMIB,LOVO,DB00544,DB00188,-6.175982009299999,2
5-FU,BORTEZOMIB,MDAMB436,DB00544,DB00188,-2.0255657606,2
5-FU,BORTEZOMIB,NCIH1650,DB00544,DB00188,-15.7787056902,2
5-FU,BORTEZOMIB,NCIH2122,DB00544,DB00188,-16.6962656751,2
5-FU,BORTEZOMIB,NCIH23,DB00544,DB00188,-9.1909645858,2
5-FU,BORTEZOMIB,NCIH460,DB00544,DB00188,-18.9981302614,2
5-FU,BORTEZOMIB,NCIH520,DB00544,DB00188,-24.0675509099,2
5-FU,BORTEZOMIB,OV90,DB00544,DB00188,-9.5861668687,2
5-FU,BORTEZOMIB,RKO,DB00544,DB00188,2.9072006684,2
5-FU,BORTEZOMIB,RPMI7951,DB00544,DB00188,-10.4794143941,2
5-FU,BORTEZOMIB,SKMEL30,DB00544,DB00188,-172.88870209080002,2
5-FU,BORTEZOMIB,SKMES1,DB00544,DB00188,-11.6427298467,2
5-FU,BORTEZOMIB,SKOV3,DB00544,DB00188,-4.6048936233,2
5-FU,BORTEZOMIB,SW620,DB00544,DB00188,-1.9079668183,2
5-FU,BORTEZOMIB,SW837,DB00544,DB00188,-1.3618595002,2
5-FU,BORTEZOMIB,T47D,DB00544,DB00188,2.7487911814,2
5-FU,BORTEZOMIB,UACC62,DB00544,DB00188,-17.8418510777,2
5-FU,BORTEZOMIB,VCAP,DB00544,DB00188,-7.0535106309,2
5-FU,BORTEZOMIB,ZR751,DB00544,DB00188,-17.451375272699998,2
5-FU,DASATINIB,A2058,DB00544,DB01254,31.1256441825,1
5-FU,DASATINIB,A2780,DB00544,DB01254,50.6036602621,1
5-FU,DASATINIB,A375,DB00544,DB01254,2.6836891586,1
5-FU,DASATINIB,CAOV3,DB00544,DB01254,17.8798317329,1
5-FU,DASATINIB,DLD1,DB00544,DB01254,21.4330908809,1
5-FU,DASATINIB,ES2,DB00544,DB01254,17.6901953531,1
5-FU,DASATINIB,HCT116,DB00544,DB01254,-7.8192717861,1
5-FU,DASATINIB,HT144,DB00544,DB01254,-22.973278118400003,1
5-FU,DASATINIB,HT29,DB00544,DB01254,17.0669807634,1
5-FU,DASATINIB,KPL1,DB00544,DB01254,3.4468119113,1
5-FU,DASATINIB,LOVO,DB00544,DB01254,21.3855881893,1
5-FU,DASATINIB,MDAMB436,DB00544,DB01254,18.7186968772,1
5-FU,DASATINIB,NCIH1650,DB00544,DB01254,23.2349707101,1
5-FU,DASATINIB,NCIH2122,DB00544,DB01254,-31.1947195955,1
5-FU,DASATINIB,NCIH23,DB00544,DB01254,11.5591467519,1
5-FU,DASATINIB,NCIH460,DB00544,DB01254,21.6687261012,1
5-FU,DASATINIB,NCIH520,DB00544,DB01254,42.7350514418,1
5-FU,DASATINIB,OV90,DB00544,DB01254,0.4330347743,1
5-FU,DASATINIB,RKO,DB00544,DB01254,17.3116328276,1
5-FU,DASATINIB,RPMI7951,DB00544,DB01254,19.0635510285,1
5-FU,DASATINIB,SKMEL30,DB00544,DB01254,-4.6186948142,1
5-FU,DASATINIB,SKMES1,DB00544,DB01254,2.9818204918,1
5-FU,DASATINIB,SKOV3,DB00544,DB01254,1.3046560675,1
5-FU,DASATINIB,SW620,DB00544,DB01254,30.444630835300003,1
5-FU,DASATINIB,SW837,DB00544,DB01254,15.8773368915,1
5-FU,DASATINIB,T47D,DB00544,DB01254,18.8656014132,1
5-FU,DASATINIB,UACC62,DB00544,DB01254,12.123960338900002,1
5-FU,DASATINIB,VCAP,DB00544,DB01254,21.455726442,1
5-FU,DASATINIB,ZR751,DB00544,DB01254,5.1142794332,1
5-FU,DINACICLIB,A2058,DB00544,DB12021,4.3316952071,0
5-FU,DINACICLIB,A2780,DB00544,DB12021,-8.1611286386,0
5-FU,DINACICLIB,A375,DB00544,DB12021,-5.4159342011,0
5-FU,DINACICLIB,CAOV3,DB00544,DB12021,-14.3474258909,0
5-FU,DINACICLIB,DLD1,DB00544,DB12021,-3.6412672658,0
5-FU,DINACICLIB,ES2,DB00544,DB12021,3.4071845582,0
5-FU,DINACICLIB,HCT116,DB00544,DB12021,2.9189014698,0
5-FU,DINACICLIB,HT144,DB00544,DB12021,-3.4774222173,0
5-FU,DINACICLIB,HT29,DB00544,DB12021,-2.5394087442,0
5-FU,DINACICLIB,KPL1,DB00544,DB12021,0.007355464,0
5-FU,DINACICLIB,LOVO,DB00544,DB12021,-11.8769599262,0
5-FU,DINACICLIB,MDAMB436,DB00544,DB12021,5.347534119800001,0
5-FU,DINACICLIB,NCIH1650,DB00544,DB12021,-2.1132235055,0
5-FU,DINACICLIB,NCIH2122,DB00544,DB12021,1.2187131729,0
5-FU,DINACICLIB,NCIH23,DB00544,DB12021,-9.5337022995,0
5-FU,DINACICLIB,NCIH460,DB00544,DB12021,-7.4209805584,0
5-FU,DINACICLIB,NCIH520,DB00544,DB12021,-4.3210485458,0
5-FU,DINACICLIB,OV90,DB00544,DB12021,-5.9355790617,0
5-FU,DINACICLIB,RKO,DB00544,DB12021,5.6238194396,0
5-FU,DINACICLIB,RPMI7951,DB00544,DB12021,-5.6869902395,0
5-FU,DINACICLIB,SKMEL30,DB00544,DB12021,-96.6171400256,0
5-FU,DINACICLIB,SKMES1,DB00544,DB12021,-3.1403413007,0
5-FU,DINACICLIB,SKOV3,DB00544,DB12021,-13.8991015225,0
5-FU,DINACICLIB,SW620,DB00544,DB12021,-4.5680713977,0
5-FU,DINACICLIB,SW837,DB00544,DB12021,-19.5733229304,0
5-FU,DINACICLIB,T47D,DB00544,DB12021,-2.721986339,0
5-FU,DINACICLIB,UACC62,DB00544,DB12021,3.6825732484,0
5-FU,DINACICLIB,VCAP,DB00544,DB12021,14.4219939992,0
5-FU,DINACICLIB,ZR751,DB00544,DB12021,-13.5823901433,0
5-FU,ERLOTINIB,A2058,DB00544,DB00530,9.6942857549,3
5-FU,ERLOTINIB,A2780,DB00544,DB00530,16.5693311017,3
5-FU,ERLOTINIB,A375,DB00544,DB00530,13.9643924282,3
5-FU,ERLOTINIB,CAOV3,DB00544,DB00530,-7.9516351685,3
5-FU,ERLOTINIB,DLD1,DB00544,DB00530,10.181271291,3
5-FU,ERLOTINIB,ES2,DB00544,DB00530,15.1231624969,3
5-FU,ERLOTINIB,HCT116,DB00544,DB00530,14.4529779349,3
5-FU,ERLOTINIB,HT144,DB00544,DB00530,9.5594532711,3
5-FU,ERLOTINIB,HT29,DB00544,DB00530,11.3374716212,3
5-FU,ERLOTINIB,KPL1,DB00544,DB00530,-3.0152734579,3
5-FU,ERLOTINIB,LOVO,DB00544,DB00530,12.4173316831,3
5-FU,ERLOTINIB,MDAMB436,DB00544,DB00530,16.1498978974,3
5-FU,ERLOTINIB,NCIH1650,DB00544,DB00530,0.9247862496,3
5-FU,ERLOTINIB,NCIH2122,DB00544,DB00530,24.4549768299,3
5-FU,ERLOTINIB,NCIH23,DB00544,DB00530,6.373410139600001,3
5-FU,ERLOTINIB,NCIH460,DB00544,DB00530,17.2248469758,3
5-FU,ERLOTINIB,NCIH520,DB00544,DB00530,7.235758199099999,3
5-FU,ERLOTINIB,OV90,DB00544,DB00530,-11.040045846300002,3
5-FU,ERLOTINIB,RKO,DB00544,DB00530,20.9875725757,3
5-FU,ERLOTINIB,RPMI7951,DB00544,DB00530,17.0048417484,3
5-FU,ERLOTINIB,SKMEL30,DB00544,DB00530,13.9548838605,3
5-FU,ERLOTINIB,SKMES1,DB00544,DB00530,21.2894247643,3
5-FU,ERLOTINIB,SKOV3,DB00544,DB00530,16.2106176273,3
5-FU,ERLOTINIB,SW620,DB00544,DB00530,0.4948904511,3
5-FU,ERLOTINIB,SW837,DB00544,DB00530,17.2993876184,3
5-FU,ERLOTINIB,T47D,DB00544,DB00530,-3.0497103681,3
5-FU,ERLOTINIB,UACC62,DB00544,DB00530,17.9689860115,3
5-FU,ERLOTINIB,VCAP,DB00544,DB00530,24.4137931368,3
5-FU,ERLOTINIB,ZR751,DB00544,DB00530,22.830617603,3
5-FU,GELDANAMYCIN,A2058,DB00544,DB02424,7.3767092383,4
5-FU,GELDANAMYCIN,A2780,DB00544,DB02424,0.9119639421,4
5-FU,GELDANAMYCIN,A375,DB00544,DB02424,7.160975098,4
5-FU,GELDANAMYCIN,CAOV3,DB00544,DB02424,-12.9867067055,4
5-FU,GELDANAMYCIN,DLD1,DB00544,DB02424,2.4338958065000003,4
5-FU,GELDANAMYCIN,ES2,DB00544,DB02424,-5.2570249896,4
5-FU,GELDANAMYCIN,HCT116,DB00544,DB02424,2.9166634421,4
5-FU,GELDANAMYCIN,HT144,DB00544,DB02424,5.3722158879,4
5-FU,GELDANAMYCIN,HT29,DB00544,DB02424,-3.9460712694,4
5-FU,GELDANAMYCIN,KPL1,DB00544,DB02424,2.3305768406,4
5-FU,GELDANAMYCIN,LOVO,DB00544,DB02424,-6.3531366592,4
5-FU,GELDANAMYCIN,MDAMB436,DB00544,DB02424,5.799105229299999,4
5-FU,GELDANAMYCIN,NCIH1650,DB00544,DB02424,-6.752269383200001,4
5-FU,GELDANAMYCIN,NCIH2122,DB00544,DB02424,-2.6927348532,4
5-FU,GELDANAMYCIN,NCIH23,DB00544,DB02424,-9.33481084,4
5-FU,GELDANAMYCIN,NCIH460,DB00544,DB02424,-2.4468045136,4
5-FU,GELDANAMYCIN,NCIH520,DB00544,DB02424,3.5130376786,4
5-FU,GELDANAMYCIN,OV90,DB00544,DB02424,0.2845088978,4
5-FU,GELDANAMYCIN,RKO,DB00544,DB02424,5.2461803983,4
5-FU,GELDANAMYCIN,RPMI7951,DB00544,DB02424,-8.0842471839,4
5-FU,GELDANAMYCIN,SKMEL30,DB00544,DB02424,-80.6389686735,4
5-FU,GELDANAMYCIN,SKMES1,DB00544,DB02424,2.7036052766000003,4
5-FU,GELDANAMYCIN,SKOV3,DB00544,DB02424,-9.1881641947,4
5-FU,GELDANAMYCIN,SW620,DB00544,DB02424,-2.851271236,4
5-FU,GELDANAMYCIN,SW837,DB00544,DB02424,-10.0141809923,4
5-FU,GELDANAMYCIN,T47D,DB00544,DB02424,30.679994412600003,4
5-FU,GELDANAMYCIN,UACC62,DB00544,DB02424,-1.3454010106999998,4
5-FU,GELDANAMYCIN,VCAP,DB00544,DB02424,14.0445192166,4
5-FU,GELDANAMYCIN,ZR751,DB00544,DB02424,-15.0092845632,4
5-FU,L778123,A2058,DB00544,DB07227,9.7282647976,1
5-FU,L778123,A2780,DB00544,DB07227,8.7866069583,1
5-FU,L778123,A375,DB00544,DB07227,7.632943657899999,1
5-FU,L778123,CAOV3,DB00544,DB07227,-11.2445613151,1
5-FU,L778123,DLD1,DB00544,DB07227,13.2529242306,1
5-FU,L778123,ES2,DB00544,DB07227,10.1135073338,1
5-FU,L778123,HCT116,DB00544,DB07227,11.7123653003,1
5-FU,L778123,HT144,DB00544,DB07227,0.1977536278999999,1
5-FU,L778123,HT29,DB00544,DB07227,17.543974246199998,1
5-FU,L778123,KPL1,DB00544,DB07227,2.4967327943,1
5-FU,L778123,LOVO,DB00544,DB07227,3.0950710355,1
5-FU,L778123,MDAMB436,DB00544,DB07227,6.6049127114,1
5-FU,L778123,NCIH1650,DB00544,DB07227,12.219824893800002,1
5-FU,L778123,NCIH2122,DB00544,DB07227,1.4919157638,1
5-FU,L778123,NCIH23,DB00544,DB07227,4.785807361,1
5-FU,L778123,NCIH460,DB00544,DB07227,-0.5617591171,1
5-FU,L778123,NCIH520,DB00544,DB07227,13.7782050736,1
5-FU,L778123,OV90,DB00544,DB07227,12.2053451012,1
5-FU,L778123,RKO,DB00544,DB07227,4.7786590771,1
5-FU,L778123,RPMI7951,DB00544,DB07227,0.7730436273000001,1
5-FU,L778123,SKMEL30,DB00544,DB07227,-57.88453337,1
5-FU,L778123,SKMES1,DB00544,DB07227,6.0790006726,1
5-FU,L778123,SKOV3,DB00544,DB07227,8.1306805695,1
5-FU,L778123,SW620,DB00544,DB07227,4.8157967021,1
5-FU,L778123,SW837,DB00544,DB07227,-4.4571313729,1
5-FU,L778123,T47D,DB00544,DB07227,21.1587573317,1
5-FU,L778123,UACC62,DB00544,DB07227,6.817916203899999,1
5-FU,L778123,VCAP,DB00544,DB07227,12.7404294136,1
5-FU,L778123,ZR751,DB00544,DB07227,8.120486489600001,1
5-FU,LAPATINIB,A2058,DB00544,DB01259,9.1921381489,1
5-FU,LAPATINIB,A2780,DB00544,DB01259,8.0111248094,1
5-FU,LAPATINIB,A375,DB00544,DB01259,7.497787303,1
5-FU,LAPATINIB,CAOV3,DB00544,DB01259,-6.7775280299,1
5-FU,LAPATINIB,DLD1,DB00544,DB01259,11.5546266847,1
5-FU,LAPATINIB,ES2,DB00544,DB01259,5.344512472,1
5-FU,LAPATINIB,HCT116,DB00544,DB01259,9.6880383892,1
5-FU,LAPATINIB,HT144,DB00544,DB01259,4.670574992300001,1
5-FU,LAPATINIB,HT29,DB00544,DB01259,4.5330856346,1
5-FU,LAPATINIB,KPL1,DB00544,DB01259,-9.537311313,1
5-FU,LAPATINIB,LOVO,DB00544,DB01259,17.490586400599998,1
5-FU,LAPATINIB,MDAMB436,DB00544,DB01259,3.6446355785,1
5-FU,LAPATINIB,NCIH1650,DB00544,DB01259,0.9058173714,1
5-FU,LAPATINIB,NCIH2122,DB00544,DB01259,9.9561959778,1
5-FU,LAPATINIB,NCIH23,DB00544,DB01259,-8.7347995249,1
5-FU,LAPATINIB,NCIH460,DB00544,DB01259,-2.0350125809,1
5-FU,LAPATINIB,NCIH520,DB00544,DB01259,-7.263521908099999,1
5-FU,LAPATINIB,OV90,DB00544,DB01259,-9.2950702543,1
5-FU,LAPATINIB,RKO,DB00544,DB01259,11.5445360217,1
5-FU,LAPATINIB,RPMI7951,DB00544,DB01259,3.3187648663,1
5-FU,LAPATINIB,SKMEL30,DB00544,DB01259,9.4835037451,1
5-FU,LAPATINIB,SKMES1,DB00544,DB01259,11.0596410178,1
5-FU,LAPATINIB,SKOV3,DB00544,DB01259,7.118783779299999,1
5-FU,LAPATINIB,SW620,DB00544,DB01259,-2.41819166,1
5-FU,LAPATINIB,SW837,DB00544,DB01259,6.956325429,1
5-FU,LAPATINIB,T47D,DB00544,DB01259,14.909282783699998,1
5-FU,LAPATINIB,UACC62,DB00544,DB01259,9.1199463026,1
5-FU,LAPATINIB,VCAP,DB00544,DB01259,10.6325581361,1
5-FU,LAPATINIB,ZR751,DB00544,DB01259,14.6763066586,1
5-FU,MK-2206,A2058,DB00544,DB16828,15.9003975952,2
5-FU,MK-2206,A2780,DB00544,DB16828,18.6562125215,2
5-FU,MK-2206,A375,DB00544,DB16828,1.4627542044,2
5-FU,MK-2206,CAOV3,DB00544,DB16828,41.0691417805,2
5-FU,MK-2206,DLD1,DB00544,DB16828,17.4731950621,2
5-FU,MK-2206,ES2,DB00544,DB16828,0.2083795553,2
5-FU,MK-2206,HCT116,DB00544,DB16828,4.1234224097,2
5-FU,MK-2206,HT144,DB00544,DB16828,2.0214349365,2
5-FU,MK-2206,HT29,DB00544,DB16828,15.704505817,2
5-FU,MK-2206,KPL1,DB00544,DB16828,26.8647753536,2
5-FU,MK-2206,LOVO,DB00544,DB16828,0.8485305444,2
5-FU,MK-2206,MDAMB436,DB00544,DB16828,11.6053738313,2
5-FU,MK-2206,NCIH1650,DB00544,DB16828,12.9608908226,2
5-FU,MK-2206,NCIH2122,DB00544,DB16828,14.5182360522,2
5-FU,MK-2206,NCIH23,DB00544,DB16828,3.9299038906,2
5-FU,MK-2206,NCIH460,DB00544,DB16828,16.5835935756,2
5-FU,MK-2206,NCIH520,DB00544,DB16828,12.9538647031,2
5-FU,MK-2206,OV90,DB00544,DB16828,6.205835325900001,2
5-FU,MK-2206,RKO,DB00544,DB16828,21.9986829902,2
5-FU,MK-2206,RPMI7951,DB00544,DB16828,13.7924902162,2
5-FU,MK-2206,SKMEL30,DB00544,DB16828,9.528004578,2
5-FU,MK-2206,SKMES1,DB00544,DB16828,18.5031612926,2
5-FU,MK-2206,SKOV3,DB00544,DB16828,12.725931577,2
5-FU,MK-2206,SW620,DB00544,DB16828,12.5554878104,2
5-FU,MK-2206,SW837,DB00544,DB16828,5.1723316978,2
5-FU,MK-2206,T47D,DB00544,DB16828,5.9686104256,2
5-FU,MK-2206,UACC62,DB00544,DB16828,16.6719027294,2
5-FU,MK-2206,VCAP,DB00544,DB16828,8.8828429883,2
5-FU,MK-2206,ZR751,DB00544,DB16828,11.5602363877,2
5-FU,MK-4827,A2058,DB00544,DB11793,6.7380597244,3
5-FU,MK-4827,A2780,DB00544,DB11793,9.9200924223,3
5-FU,MK-4827,A375,DB00544,DB11793,-2.1913568907,3
5-FU,MK-4827,CAOV3,DB00544,DB11793,-3.7460101438,3
5-FU,MK-4827,DLD1,DB00544,DB11793,0.8137396618000001,3
5-FU,MK-4827,ES2,DB00544,DB11793,-4.0814869489,3
5-FU,MK-4827,HCT116,DB00544,DB11793,8.0324018449,3
5-FU,MK-4827,HT144,DB00544,DB11793,-2.5727064212,3
5-FU,MK-4827,HT29,DB00544,DB11793,3.2803166061,3
5-FU,MK-4827,KPL1,DB00544,DB11793,-3.7239969705,3
5-FU,MK-4827,LOVO,DB00544,DB11793,-14.5737162026,3
5-FU,MK-4827,MDAMB436,DB00544,DB11793,2.5650627877,3
5-FU,MK-4827,NCIH1650,DB00544,DB11793,-9.2480173289,3
5-FU,MK-4827,NCIH2122,DB00544,DB11793,1.8558659516,3
5-FU,MK-4827,NCIH23,DB00544,DB11793,-10.5263423251,3
5-FU,MK-4827,NCIH460,DB00544,DB11793,-2.8604770301,3
5-FU,MK-4827,NCIH520,DB00544,DB11793,4.4514426938,3
5-FU,MK-4827,OV90,DB00544,DB11793,-11.575963303,3
5-FU,MK-4827,RKO,DB00544,DB11793,-0.3218696371,3
5-FU,MK-4827,RPMI7951,DB00544,DB11793,1.7688753557,3
5-FU,MK-4827,SKMEL30,DB00544,DB11793,3.7669646714,3
5-FU,MK-4827,SKMES1,DB00544,DB11793,0.7304384281999999,3
5-FU,MK-4827,SKOV3,DB00544,DB11793,-0.0609455567999999,3
5-FU,MK-4827,SW620,DB00544,DB11793,4.2713930567,3
5-FU,MK-4827,SW837,DB00544,DB11793,-12.7245151344,3
5-FU,MK-4827,T47D,DB00544,DB11793,-9.8818158289,3
5-FU,MK-4827,UACC62,DB00544,DB11793,1.3318645202,3
5-FU,MK-4827,VCAP,DB00544,DB11793,10.9885790618,3
5-FU,MK-4827,ZR751,DB00544,DB11793,3.1821546666,3
5-FU,MK-5108,A2058,DB00544,DB12556,1.8048954561,2
5-FU,MK-5108,A2780,DB00544,DB12556,9.2608129746,2
5-FU,MK-5108,A375,DB00544,DB12556,8.9984383656,2
5-FU,MK-5108,CAOV3,DB00544,DB12556,-13.041340690999998,2
5-FU,MK-5108,DLD1,DB00544,DB12556,0.9239054681,2
5-FU,MK-5108,ES2,DB00544,DB12556,3.5129827459,2
5-FU,MK-5108,HCT116,DB00544,DB12556,16.5701564393,2
5-FU,MK-5108,HT144,DB00544,DB12556,0.7960237066,2
5-FU,MK-5108,HT29,DB00544,DB12556,12.4304918803,2
5-FU,MK-5108,KPL1,DB00544,DB12556,3.7195503932,2
5-FU,MK-5108,LOVO,DB00544,DB12556,0.9569595237,2
5-FU,MK-5108,MDAMB436,DB00544,DB12556,2.8172121104000003,2
5-FU,MK-5108,NCIH1650,DB00544,DB12556,-0.6599837702,2
5-FU,MK-5108,NCIH2122,DB00544,DB12556,-1.7886402574,2
5-FU,MK-5108,NCIH23,DB00544,DB12556,-2.7746186765,2
5-FU,MK-5108,NCIH460,DB00544,DB12556,-5.659480778200001,2
5-FU,MK-5108,NCIH520,DB00544,DB12556,2.7796403404000003,2
5-FU,MK-5108,OV90,DB00544,DB12556,0.7102572606,2
5-FU,MK-5108,RKO,DB00544,DB12556,-2.4180318894,2
5-FU,MK-5108,RPMI7951,DB00544,DB12556,4.4237664099,2
5-FU,MK-5108,SKMEL30,DB00544,DB12556,14.8385714465,2
5-FU,MK-5108,SKMES1,DB00544,DB12556,-2.969522572,2
5-FU,MK-5108,SKOV3,DB00544,DB12556,8.1828554544,2
5-FU,MK-5108,SW620,DB00544,DB12556,4.1982352116,2
5-FU,MK-5108,SW837,DB00544,DB12556,-3.1947088918,2
5-FU,MK-5108,T47D,DB00544,DB12556,4.9294221133,2
5-FU,MK-5108,UACC62,DB00544,DB12556,8.1866547691,2
5-FU,MK-5108,VCAP,DB00544,DB12556,11.649741335,2
5-FU,MK-5108,ZR751,DB00544,DB12556,0.8270235376,2
5-FU,MK-8669,A2058,DB00544,DB06233,32.336231656,0
